"No.","Time","Source","Destination","Protocol","Length","Info"
"17","6.077358","192.168.1.40","192.168.1.255","UDP","1462","889  >  889 Len=1420"
"43","12.634470","192.168.1.40","80.58.61.254","DNS","85","Standard query 0x2f14 A api.flightproxy.skype.com"
"44","12.634470","192.168.1.40","80.58.61.254","DNS","85","Standard query 0x77df AAAA api.flightproxy.skype.com"
"45","12.634608","192.168.1.40","80.58.61.254","DNS","77","Standard query 0x4f9b A api3.cc.skype.com"
"46","12.634787","192.168.1.40","80.58.61.254","DNS","77","Standard query 0x506f AAAA api3.cc.skype.com"
"47","12.638161","80.58.61.254","192.168.1.40","DNS","261","Standard query response 0x77df AAAA api.flightproxy.skype.com CNAME api-flightproxy-skype.trafficmanager.net CNAME a-flightproxy-euno-01-skype.cloudapp.net SOA ns1-201.azure-dns.com"
"48","12.638549","80.58.61.254","192.168.1.40","DNS","206","Standard query response 0x2f14 A api.flightproxy.skype.com CNAME api-flightproxy-skype.trafficmanager.net CNAME a-flightproxy-euno-01-skype.cloudapp.net A 13.70.198.241"
"49","12.639527","80.58.61.254","192.168.1.40","DNS","179","Standard query response 0x4f9b A api3.cc.skype.com CNAME api3-cc-skype.trafficmanager.net CNAME cc-frce-10-skype.cloudapp.net A 52.123.144.110"
"53","12.666676","192.168.1.40","80.58.61.250","DNS","77","Standard query 0x506f AAAA api3.cc.skype.com"
"54","12.669449","80.58.61.250","192.168.1.40","DNS","234","Standard query response 0x506f AAAA api3.cc.skype.com CNAME api3-cc-skype.trafficmanager.net CNAME cc-swce-10-skype.cloudapp.net SOA ns1-201.azure-dns.com"
"60","12.686553","192.168.1.40","80.58.61.254","DNS","92","Standard query 0x6077 A gateway.bingviz.microsoftapp.net"
"61","12.690977","80.58.61.254","192.168.1.40","DNS","260","Standard query response 0x6077 A gateway.bingviz.microsoftapp.net CNAME bingviz.azurefd.net CNAME star-azurefd-prod.trafficmanager.net CNAME dual.part-0015.t-0009.t-msedge.net CNAME part-0015.t-0009.t-msedge.net A 13.107.213.43 A 13.107.246.43"
"63","12.692925","80.58.61.254","192.168.1.40","DNS","234","Standard query response 0x506f AAAA api3.cc.skype.com CNAME api3-cc-skype.trafficmanager.net CNAME cc-swce-09-skype.cloudapp.net SOA ns1-201.azure-dns.com"
"64","12.693273","192.168.1.40","52.123.144.60","UDP","1342","56474  >  3478 Len=1300"
"65","12.693300","192.168.1.40","52.123.144.60","UDP","85","56474  >  3478 Len=43"
"69","12.714487","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"70","12.714525","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"71","12.714525","52.123.144.60","192.168.1.40","UDP","79","3478  >  56474 Len=37"
"72","12.721249","192.168.1.40","80.58.61.254","DNS","78","Standard query 0xf71d A eu.relay.skype.com"
"86","12.738818","192.168.1.40","20.202.2.0","STUN","110","Allocate Request bandwidth: 12000"
"88","12.756944","192.168.1.40","80.58.61.250","DNS","78","Standard query 0xf71d A eu.relay.skype.com"
"98","12.765902","80.58.61.254","192.168.1.40","DNS","205","Standard query response 0xf71d A eu.relay.skype.com CNAME euaz.relay.skype.trafficmanager.net CNAME b-tr-skysc-swcn-01.swedencentral.cloudapp.azure.com A 20.202.68.16"
"99","12.767293","20.202.2.0","192.168.1.40","STUN","285","Allocate Error Response error-code: 401 (Unauthenticated) The request did not contain a Message-Integrity attribute[Malformed Packet]"
"101","12.792804","192.168.1.40","20.202.140.147","STUN","256","Allocate Request bandwidth: 12000 realm: \357\277\275\tfU\357\277\275,\357\277\275g#\357\277\275}\357\277\275$\357\277\275\357\277\2750LsZ\006 with nonce[Malformed Packet]"
"102","12.799485","80.58.61.250","192.168.1.40","DNS","205","Standard query response 0xf71d A eu.relay.skype.com CNAME euaz.relay.skype.trafficmanager.net CNAME a-tr-skysc-swcn-01.swedencentral.cloudapp.azure.com A 20.202.68.17"
"104","12.813262","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"105","12.813262","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"106","12.813262","52.123.144.60","192.168.1.40","UDP","79","3478  >  56474 Len=37"
"107","12.823415","20.202.140.147","192.168.1.40","STUN","238","Allocate Success Response lifetime: 60 MAPPED-ADDRESS: 20.202.140.147:3480 XOR-MAPPED-ADDRESS: 81.34.55.5:50899 bandwidth: 12000"
"108","12.848334","192.168.1.40","192.168.1.52","STUN","154","Binding Request user: 76IQ:QLUn"
"112","12.883933","52.123.144.60","192.168.1.40","UDP","1449","3478  >  56474 Len=1407"
"113","12.883933","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=16"
"114","12.884077","192.168.1.40","52.123.144.60","UDP","49","56474  >  3478 Len=7"
"115","12.884276","192.168.1.40","52.123.144.60","UDP","49","56474  >  3478 Len=7"
"116","12.885314","192.168.1.40","52.123.144.60","UDP","1342","56474  >  3478 Len=1300"
"117","12.885340","192.168.1.40","52.123.144.60","UDP","277","56474  >  3478 Len=235"
"119","12.890887","192.168.1.52","192.168.1.40","STUN","130","Binding Success Response XOR-MAPPED-ADDRESS: 192.168.1.40:50899"
"120","12.898789","192.168.1.40","81.34.55.5","STUN","154","Binding Request user: 76IQ:QLUn"
"121","12.899309","81.34.55.5","192.168.1.40","ICMP","182","Destination unreachable (Port unreachable)"
"122","12.906037","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"123","12.906229","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"124","12.906854","52.123.144.60","192.168.1.40","UDP","79","3478  >  56474 Len=37"
"125","12.912262","52.123.144.60","192.168.1.40","UDP","338","3478  >  56474 Len=296"
"126","12.912465","192.168.1.40","52.123.144.60","UDP","49","56474  >  3478 Len=7"
"135","12.985110","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=16"
"136","12.985110","52.123.144.60","192.168.1.40","UDP","1449","3478  >  56474 Len=1407"
"139","13.000678","52.123.144.60","192.168.1.40","UDP","79","3478  >  56474 Len=37"
"140","13.000678","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"141","13.000678","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"142","13.016288","52.123.144.60","192.168.1.40","UDP","338","3478  >  56474 Len=296"
"143","13.023726","192.168.1.52","192.168.1.40","STUN","154","Binding Request user: QLUn:76IQ"
"148","13.057484","192.168.1.40","192.168.1.52","STUN","130","Binding Success Response XOR-MAPPED-ADDRESS: 192.168.1.52:20755"
"154","13.132840","192.168.1.52","192.168.1.40","STUN","158","Binding Request user: QLUn:76IQ"
"159","13.162200","192.168.1.40","192.168.1.52","STUN","130","Binding Success Response XOR-MAPPED-ADDRESS: 192.168.1.52:20755"
"180","15.165466","192.168.1.40","192.168.1.52","RTCP","158","Receiver Report   ([Malformed Packet]"
"181","15.166002","192.168.1.40","52.123.144.60","UDP","1342","56474  >  3478 Len=1300"
"182","15.166030","192.168.1.40","52.123.144.60","UDP","437","56474  >  3478 Len=395"
"185","15.187194","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"186","15.190159","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"187","15.190404","52.123.144.60","192.168.1.40","UDP","79","3478  >  56474 Len=37"
"188","15.228183","192.168.1.40","192.168.1.52","STUN","150","Binding Request user: 76IQ:QLUn"
"189","15.263739","192.168.1.40","80.58.61.254","DNS","82","Standard query 0xab13 A secure.skypeassets.com"
"190","15.268821","80.58.61.254","192.168.1.40","DNS","179","Standard query response 0xab13 A secure.skypeassets.com CNAME secure.skypeassets.com.edgekey.net CNAME e2782.b.akamaiedge.net A 23.194.20.163"
"192","15.271230","192.168.1.40","80.58.61.254","DNS","95","Standard query 0x8e66 A client-s.gateway.messenger.live.com"
"198","15.273680","52.123.144.60","192.168.1.40","UDP","642","3478  >  56474 Len=600"
"199","15.273857","192.168.1.40","52.123.144.60","UDP","49","56474  >  3478 Len=7"
"200","15.274700","80.58.61.254","192.168.1.40","DNS","262","Standard query response 0x8e66 A client-s.gateway.messenger.live.com CNAME client-s.gateway.messenger.geo.msnmessenger.msn.com.akadns.net CNAME amer-client-s.msnmessenger.msn.com.akadns.net CNAME azwus1-client-s.msnmessenger.msn.com.akadns.net CNAME ip.azwus1-client-s.msnmessenger.msn.com.akadns.net A 13.83.65.43"
"207","15.278315","192.168.1.52","192.168.1.40","RTCP","86","Receiver Report   (PSE:Unknown  PSE:Unknown  PSE:Unknown  [Malformed Packet]"
"208","15.278360","192.168.1.52","192.168.1.40","RTCP","1262","Receiver Report   (PSE:Unknown  [Malformed Packet]"
"209","15.278380","192.168.1.52","192.168.1.40","RTCP","1262","Receiver Report   (PSE:Unknown  [Malformed Packet]"
"210","15.278396","192.168.1.52","192.168.1.40","RTCP","1262","Receiver Report   (PSE:Unknown  PSE:Unknown  PSE:Unknown  [Malformed Packet]"
"211","15.278423","192.168.1.52","192.168.1.40","RTCP","1262","Receiver Report   (PSE:Unknown  PSE:Unknown  PSE:Unknown  PSE:Unknown  [Malformed Packet]"
"213","15.279611","192.168.1.40","192.168.1.52","RTCP","150","Receiver Report   ([Malformed Packet]"
"245","15.283039","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"414","15.298719","52.123.144.60","192.168.1.40","UDP","79","3478  >  56474 Len=37"
"415","15.298719","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"416","15.318430","192.168.1.52","192.168.1.40","STUN","150","Binding Request user: QLUn:76IQ"
"420","15.329982","192.168.1.40","192.168.1.52","STUN","122","Binding Success Response XOR-MAPPED-ADDRESS: 192.168.1.52:20755"
"423","15.335689","192.168.1.40","20.202.2.0","STUN","110","Allocate Request bandwidth: 5000"
"425","15.335959","192.168.1.40","80.58.61.254","DNS","73","Standard query 0xe897 AAAA ipv4only.arpa"
"426","15.339416","80.58.61.254","192.168.1.40","DNS","130","Standard query response 0xe897 AAAA ipv4only.arpa SOA sns.dns.icann.org"
"427","15.344939","52.123.144.60","192.168.1.40","UDP","978","3478  >  56474 Len=936"
"428","15.345186","192.168.1.40","52.123.144.60","UDP","49","56474  >  3478 Len=7"
"429","15.345212","192.168.1.40","52.123.144.60","UDP","79","56474  >  3478 Len=37"
"430","15.345470","192.168.1.40","52.123.144.60","UDP","203","56474  >  3478 Len=161"
"434","15.361882","20.202.2.0","192.168.1.40","STUN","285","Allocate Error Response error-code: 401 (Unauthenticated) The request did not contain a Message-Integrity attribute[Malformed Packet]"
"438","15.369186","192.168.1.40","192.168.1.52","RTCP","86","Receiver Report   ([Malformed Packet]"
"439","15.369210","192.168.1.40","192.168.1.52","RTCP","1262","Receiver Report   (PSE:Unknown  PSE:Unknown  [Malformed Packet]"
"440","15.369221","192.168.1.40","192.168.1.52","RTCP","1262","Receiver Report   (PSE:Unknown  PSE:Unknown  [Malformed Packet]"
"441","15.369233","192.168.1.40","192.168.1.52","RTCP","1262","Receiver Report   ([Malformed Packet]"
"442","15.369242","192.168.1.40","192.168.1.52","RTCP","1262","Receiver Report   ([Malformed Packet]"
"443","15.376892","52.123.144.60","192.168.1.40","UDP","642","3478  >  56474 Len=600"
"444","15.380873","192.168.1.40","20.202.140.115","STUN","256","Allocate Request bandwidth: 5000 realm: s\357\277\275rB\357\277\275j\357\277\275\357\277\275g\307\275d)\357\277\275\r[l\\\357\277\275Y with nonce[Malformed Packet]"
"445","15.381003","192.168.1.40","20.202.140.115","STUN","110","Allocate Request bandwidth: 5000"
"446","15.386572","192.168.1.52","192.168.1.40","UDP","127","20755  >  50899 Len=85"
"448","15.390995","192.168.1.52","192.168.1.40","RTCP","90","Sender Report   "
"449","15.391451","192.168.1.52","192.168.1.40","RTCP","214","Sender Report   (PSE:Unknown  PSE:Unknown  [Malformed Packet]"
"450","15.391451","192.168.1.52","192.168.1.40","RTCP","146","Payload-specific Feedback   ALFB  "
"451","15.391738","192.168.1.40","192.168.1.52","RTCP","162","Payload-specific Feedback   ALFB  "
"452","15.392991","192.168.1.40","192.168.1.52","RTCP","90","Sender Report   "
"453","15.393013","192.168.1.40","192.168.1.52","RTCP","234","Receiver Report   (PSE:Unknown  PSE:Unknown  PSE:Unknown  PSE:Unknown  [Malformed Packet]"
"454","15.398747","192.168.1.40","192.168.1.52","RTCP","90","Sender Report   "
"455","15.398771","192.168.1.40","192.168.1.52","RTCP","210","Receiver Report   ([Malformed Packet]"
"456","15.404866","192.168.1.52","192.168.1.40","UDP","132","20755  >  50899 Len=90"
"459","15.409825","20.202.140.115","192.168.1.40","STUN","238","Allocate Success Response lifetime: 60 MAPPED-ADDRESS: 20.202.140.115:3481 XOR-MAPPED-ADDRESS: 81.34.55.5:16934 bandwidth: 5000"
"460","15.410610","20.202.140.115","192.168.1.40","STUN","285","Allocate Error Response error-code: 401 (Unauthenticated) The request did not contain a Message-Integrity attribute[Malformed Packet]"
"465","15.434761","192.168.1.40","20.202.140.115","STUN","256","Allocate Request bandwidth: 5000 realm: [\357\277\275\357\277\275S\357\277\275O\357\277\275~6\357\277\275\026\rg\352\253\270\321\217\357\277\275\357\277\275 with nonce[Malformed Packet]"
"472","15.455830","192.168.1.52","192.168.1.40","UDP","115","20755  >  50899 Len=73"
"473","15.455830","192.168.1.52","192.168.1.40","UDP","125","20755  >  50899 Len=83"
"475","15.464514","20.202.140.115","192.168.1.40","STUN","238","Allocate Success Response lifetime: 60 MAPPED-ADDRESS: 20.202.140.115:3481 XOR-MAPPED-ADDRESS: 81.34.55.5:16935 bandwidth: 5000"
"485","15.512003","192.168.1.52","192.168.1.40","UDP","119","20755  >  50899 Len=77"
"489","15.515165","192.168.1.52","192.168.1.40","RTCP","90","Sender Report   Extended inter-arrival jitter report   "
"490","15.515165","192.168.1.52","192.168.1.40","RTCP","234","Sender Report   (PSE:Unknown  PSE:Unknown  PSE:Unknown  [Malformed Packet]"
"491","15.515165","192.168.1.52","192.168.1.40","UDP","119","20755  >  50899 Len=77"
"492","15.515197","192.168.1.52","192.168.1.40","UDP","117","20755  >  50899 Len=75"
"497","15.533111","192.168.1.52","192.168.1.40","UDP","116","20755  >  50899 Len=74"
"499","15.547745","192.168.1.52","192.168.1.40","UDP","126","20755  >  50899 Len=84"
"503","15.592985","192.168.1.40","192.168.1.52","RTCP","90","Sender Report   "
"504","15.593002","192.168.1.40","192.168.1.52","RTCP","270","Sender Report   (PSE:Unknown  PSE:Unknown  [Malformed Packet]"
"505","15.599536","192.168.1.52","192.168.1.40","UDP","118","20755  >  50899 Len=76"
"506","15.599536","192.168.1.52","192.168.1.40","UDP","117","20755  >  50899 Len=75"
"507","15.604798","192.168.1.40","192.168.1.52","RTCP","162","Payload-specific Feedback   ALFB  "
"508","15.608288","192.168.1.52","192.168.1.40","UDP","116","20755  >  50899 Len=74"
"518","15.625525","192.168.1.52","192.168.1.40","UDP","122","20755  >  50899 Len=80"
"519","15.646312","192.168.1.52","192.168.1.40","UDP","121","20755  >  50899 Len=79"
"520","15.649624","192.168.1.40","52.123.144.60","UDP","1342","56474  >  3478 Len=1300"
"521","15.649659","192.168.1.40","52.123.144.60","UDP","629","56474  >  3478 Len=587"
"523","15.670217","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"524","15.670691","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"525","15.670918","52.123.144.60","192.168.1.40","UDP","79","3478  >  56474 Len=37"
"526","15.679057","52.123.144.60","192.168.1.40","UDP","338","3478  >  56474 Len=296"
"527","15.679262","192.168.1.40","52.123.144.60","UDP","49","56474  >  3478 Len=7"
"528","15.679404","52.123.144.60","192.168.1.40","UDP","514","3478  >  56474 Len=472"
"529","15.679567","192.168.1.40","52.123.144.60","UDP","49","56474  >  3478 Len=7"
"530","15.679588","192.168.1.40","52.123.144.60","UDP","79","56474  >  3478 Len=37"
"531","15.679766","192.168.1.40","52.123.144.60","UDP","203","56474  >  3478 Len=161"
"532","15.684318","192.168.1.52","192.168.1.40","UDP","120","20755  >  50899 Len=78"
"533","15.686271","192.168.1.52","192.168.1.40","UDP","121","20755  >  50899 Len=79"
"535","15.699798","192.168.1.40","20.202.140.115","STUN","228","Allocate Request lifetime: 0 realm: [\357\277\275\357\277\275S\357\277\275O\357\277\275~6\357\277\275\026\rg\352\253\270\321\217\357\277\275\357\277\275 with nonce[Malformed Packet]"
"536","15.699847","192.168.1.40","20.202.140.115","STUN","228","Allocate Request lifetime: 0 realm: s\357\277\275rB\357\277\275j\357\277\275\357\277\275g\307\275d)\357\277\275\r[l\\\357\277\275Y with nonce[Malformed Packet]"
"540","15.722045","192.168.1.52","192.168.1.40","UDP","123","20755  >  50899 Len=81"
"541","15.722045","192.168.1.52","192.168.1.40","RTCP","202","Receiver Report   (PSE:Unknown  [Malformed Packet]"
"542","15.726432","20.202.140.115","192.168.1.40","STUN","230","Allocate Success Response lifetime: 0 MAPPED-ADDRESS: 20.202.140.115:3481 XOR-MAPPED-ADDRESS: 81.34.55.5:16934"
"543","15.726538","20.202.140.115","192.168.1.40","STUN","230","Allocate Success Response lifetime: 0 MAPPED-ADDRESS: 20.202.140.115:3481 XOR-MAPPED-ADDRESS: 81.34.55.5:16935"
"549","15.730165","192.168.1.52","192.168.1.40","UDP","118","20755  >  50899 Len=76"
"554","15.745689","192.168.1.52","192.168.1.40","UDP","117","20755  >  50899 Len=75"
"556","15.767592","52.123.144.60","192.168.1.40","UDP","79","3478  >  56474 Len=37"
"557","15.767592","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"558","15.767592","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"559","15.770459","192.168.1.52","192.168.1.40","UDP","118","20755  >  50899 Len=76"
"561","15.783136","52.123.144.60","192.168.1.40","UDP","338","3478  >  56474 Len=296"
"563","15.795540","192.168.1.40","192.168.1.52","RTCP","162","Payload-specific Feedback   ALFB  "
"565","15.831001","192.168.1.52","192.168.1.40","UDP","112","20755  >  50899 Len=70"
"566","15.831001","192.168.1.52","192.168.1.40","UDP","115","20755  >  50899 Len=73"
"567","15.831001","192.168.1.52","192.168.1.40","UDP","111","20755  >  50899 Len=69"
"568","15.856655","192.168.1.52","192.168.1.40","UDP","117","20755  >  50899 Len=75"
"571","15.887757","192.168.1.40","192.168.1.52","RTCP","162","Payload-specific Feedback   ALFB  "
"573","15.900698","192.168.1.52","192.168.1.40","UDP","128","20755  >  50899 Len=86"
"574","15.900698","192.168.1.52","192.168.1.40","UDP","112","20755  >  50899 Len=70"
"575","15.906018","192.168.1.52","192.168.1.40","UDP","113","20755  >  50899 Len=71"
"576","15.913817","192.168.1.40","52.123.144.60","UDP","1342","56474  >  3478 Len=1300"
"577","15.913847","192.168.1.40","52.123.144.60","UDP","261","56474  >  3478 Len=219"
"579","15.933193","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"580","15.933335","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"581","15.933579","52.123.144.60","192.168.1.40","UDP","79","3478  >  56474 Len=37"
"582","15.939527","52.123.144.60","192.168.1.40","UDP","338","3478  >  56474 Len=296"
"583","15.939725","192.168.1.40","52.123.144.60","UDP","49","56474  >  3478 Len=7"
"584","15.950312","192.168.1.52","192.168.1.40","UDP","118","20755  >  50899 Len=76"
"585","15.950312","192.168.1.52","192.168.1.40","UDP","115","20755  >  50899 Len=73"
"586","15.965393","192.168.1.52","192.168.1.40","UDP","117","20755  >  50899 Len=75"
"587","15.983649","52.123.144.60","192.168.1.40","UDP","498","3478  >  56474 Len=456"
"588","15.983864","192.168.1.40","52.123.144.60","UDP","49","56474  >  3478 Len=7"
"589","15.983894","192.168.1.40","52.123.144.60","UDP","79","56474  >  3478 Len=37"
"590","15.984084","192.168.1.40","52.123.144.60","UDP","203","56474  >  3478 Len=161"
"591","15.986637","192.168.1.52","192.168.1.40","UDP","109","20755  >  50899 Len=67"
"592","16.009974","192.168.1.52","192.168.1.40","UDP","124","20755  >  50899 Len=82"
"595","16.028466","192.168.1.52","192.168.1.40","UDP","122","20755  >  50899 Len=80"
"596","16.033125","52.123.144.60","192.168.1.40","UDP","79","3478  >  56474 Len=37"
"597","16.033125","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"598","16.033125","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"599","16.048784","52.123.144.60","192.168.1.40","UDP","338","3478  >  56474 Len=296"
"600","16.049471","192.168.1.52","192.168.1.40","UDP","111","20755  >  50899 Len=69"
"601","16.069949","192.168.1.52","192.168.1.40","UDP","113","20755  >  50899 Len=71"
"602","16.091042","192.168.1.52","192.168.1.40","UDP","112","20755  >  50899 Len=70"
"604","16.101187","192.168.1.40","192.168.1.52","RTCP","162","Payload-specific Feedback   ALFB  "
"605","16.105447","192.168.1.52","192.168.1.40","UDP","118","20755  >  50899 Len=76"
"606","16.128574","192.168.1.52","192.168.1.40","UDP","114","20755  >  50899 Len=72"
"607","16.145239","192.168.1.52","192.168.1.40","UDP","115","20755  >  50899 Len=73"
"608","16.165722","192.168.1.52","192.168.1.40","UDP","115","20755  >  50899 Len=73"
"609","16.191880","192.168.1.52","192.168.1.40","UDP","122","20755  >  50899 Len=80"
"610","16.207768","192.168.1.52","192.168.1.40","UDP","115","20755  >  50899 Len=73"
"611","16.214870","52.123.144.60","192.168.1.40","UDP","1186","3478  >  56474 Len=1144"
"612","16.215277","192.168.1.40","52.123.144.60","UDP","49","56474  >  3478 Len=7"
"613","16.215333","192.168.1.40","52.123.144.60","UDP","79","56474  >  3478 Len=37"
"614","16.215858","192.168.1.40","52.123.144.60","UDP","203","56474  >  3478 Len=161"
"615","16.240014","192.168.1.40","20.202.2.0","STUN","110","Allocate Request bandwidth: 5000"
"621","16.263324","192.168.1.52","192.168.1.40","UDP","114","20755  >  50899 Len=72"
"622","16.263324","192.168.1.52","192.168.1.40","UDP","113","20755  >  50899 Len=71"
"623","16.266431","20.202.2.0","192.168.1.40","STUN","285","Allocate Error Response error-code: 401 (Unauthenticated) The request did not contain a Message-Integrity attribute[Malformed Packet]"
"624","16.266611","192.168.1.52","192.168.1.40","UDP","117","20755  >  50899 Len=75"
"625","16.282120","192.168.1.40","20.202.140.168","STUN","256","Allocate Request bandwidth: 5000 realm: u\357\277\275\007\357\277\275\032HA\357\277\275\005\037\357\277\275*\357\277\275\v\357\277\275\\\357\277\275\357\277\275k with nonce[Malformed Packet]"
"626","16.285986","192.168.1.40","52.123.144.60","UDP","1342","56474  >  3478 Len=1300"
"627","16.286011","192.168.1.40","52.123.144.60","UDP","421","56474  >  3478 Len=379"
"628","16.291174","192.168.1.52","192.168.1.40","UDP","114","20755  >  50899 Len=72"
"629","16.304719","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"630","16.306899","192.168.1.52","192.168.1.40","UDP","115","20755  >  50899 Len=73"
"631","16.308293","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"632","16.308293","52.123.144.60","192.168.1.40","UDP","79","3478  >  56474 Len=37"
"633","16.310304","52.123.144.60","192.168.1.40","UDP","338","3478  >  56474 Len=296"
"634","16.310503","192.168.1.40","52.123.144.60","UDP","49","56474  >  3478 Len=7"
"635","16.311664","20.202.140.168","192.168.1.40","STUN","238","Allocate Success Response lifetime: 60 MAPPED-ADDRESS: 20.202.140.168:3481 XOR-MAPPED-ADDRESS: 81.34.55.5:9848 bandwidth: 5000"
"636","16.311803","192.168.1.40","192.168.1.52","RTCP","162","Payload-specific Feedback   ALFB  "
"637","16.325539","192.168.1.52","192.168.1.40","UDP","117","20755  >  50899 Len=75"
"643","16.335978","192.168.1.40","192.168.1.52","STUN","154","Binding Request user: 7mIh:DTe7"
"644","16.335986","192.168.1.52","192.168.1.40","STUN","146","Binding Request user: QLUn:76IQ"
"645","16.336041","192.168.1.40","20.202.140.168","RTCP","290","Receiver Report   ([Malformed Packet]"
"646","16.355997","192.168.1.52","192.168.1.40","UDP","124","20755  >  50899 Len=82"
"647","16.357693","192.168.1.40","20.202.140.168","RTCP","290","Receiver Report   ([Malformed Packet]"
"648","16.369882","192.168.1.52","192.168.1.40","UDP","114","20755  >  50899 Len=72"
"649","16.381644","192.168.1.40","20.202.140.168","RTCP","290","Receiver Report   ([Malformed Packet]"
"650","16.382279","192.168.1.52","192.168.1.40","STUN","130","Binding Success Response XOR-MAPPED-ADDRESS: 192.168.1.40:9848"
"651","16.382279","192.168.1.52","192.168.1.40","STUN","154","Binding Request user: DTe7:7mIh"
"652","16.387321","52.123.144.60","192.168.1.40","UDP","498","3478  >  56474 Len=456"
"653","16.387517","192.168.1.40","52.123.144.60","UDP","49","56474  >  3478 Len=7"
"654","16.387557","192.168.1.40","52.123.144.60","UDP","79","56474  >  3478 Len=37"
"655","16.387629","192.168.1.40","192.168.1.52","STUN","122","Binding Success Response XOR-MAPPED-ADDRESS: 192.168.1.52:20755"
"656","16.387726","192.168.1.40","192.168.1.52","STUN","130","Binding Success Response XOR-MAPPED-ADDRESS: 192.168.1.52:4019"
"657","16.387739","192.168.1.40","52.123.144.60","UDP","203","56474  >  3478 Len=161"
"658","16.387801","192.168.1.40","81.34.55.5","STUN","154","Binding Request user: 7mIh:DTe7"
"659","16.388291","81.34.55.5","192.168.1.40","ICMP","182","Destination unreachable (Port unreachable)"
"660","16.391590","192.168.1.52","192.168.1.40","RTCP","146","Payload-specific Feedback   ALFB  "
"661","16.391590","192.168.1.52","192.168.1.40","UDP","115","20755  >  50899 Len=73"
"662","16.404631","192.168.1.40","192.168.1.52","RTCP","90","Sender Report   "
"663","16.404672","192.168.1.40","192.168.1.52","RTCP","138","Receiver Report   ([Malformed Packet]"
"664","16.405700","192.168.1.52","192.168.1.40","UDP","121","20755  >  50899 Len=79"
"665","16.408140","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"666","16.408140","52.123.144.60","192.168.1.40","UDP","338","3478  >  56474 Len=296"
"667","16.408140","52.123.144.60","192.168.1.40","UDP","60","3478  >  56474 Len=7"
"668","16.408140","52.123.144.60","192.168.1.40","UDP","79","3478  >  56474 Len=37"
"671","16.424329","20.202.140.168","192.168.1.40","RTCP","190","Receiver Report   ([Malformed Packet]"
"672","16.427265","192.168.1.52","192.168.1.40","UDP","124","20755  >  50899 Len=82"
"673","16.428582","192.168.1.40","192.168.1.52","RTCP","90","Sender Report   "
"674","16.428600","192.168.1.40","192.168.1.52","RTCP","134","Receiver Report   ([Malformed Packet]"
"675","16.445146","192.168.1.52","192.168.1.40","STUN","158","Binding Request user: DTe7:7mIh"
"676","16.445638","192.168.1.52","192.168.1.40","UDP","118","20755  >  50899 Len=76"
"677","16.480477","192.168.1.52","192.168.1.40","UDP","110","20755  >  50899 Len=68"
"678","16.491470","192.168.1.52","192.168.1.40","UDP","114","20755  >  50899 Len=72"
"680","16.494537","192.168.1.40","192.168.1.52","STUN","130","Binding Success Response XOR-MAPPED-ADDRESS: 192.168.1.52:4019"
"682","16.505815","192.168.1.52","192.168.1.40","UDP","117","20755  >  50899 Len=75"
"683","16.524328","192.168.1.40","192.168.1.52","RTCP","162","Payload-specific Feedback   ALFB  "
"684","16.527138","192.168.1.52","192.168.1.40","UDP","114","20755  >  50899 Len=72"
"686","16.549637","192.168.1.52","192.168.1.40","UDP","110","20755  >  50899 Len=68"
"687","16.568218","192.168.1.52","192.168.1.40","UDP","114","20755  >  50899 Len=72"
"688","16.586025","192.168.1.52","192.168.1.40","UDP","122","20755  >  50899 Len=80"
"689","16.586269","52.123.144.60","192.168.1.40","UDP","1074","3478  >  56474 Len=1032"
"690","16.586494","192.168.1.40","52.123.144.60","UDP","49","56474  >  3478 Len=7"
